Date;Eurozone;US;China;Japan;UK;Australia
31/05/2013;0,01505000;0,02128000;0,03420000;0,00857000;0,02002000;0,03358000
30/04/2013;0,01216000;0,01672000;0,03490000;0,00609000;0,01690000;0,03092000
29/03/2013;0,01289000;0,01849000;0,03590000;0,00551000;0,01768000;0,03418000
28/02/2013;0,01454000;0,01876000;0,03600000;0,00663000;0,01973000;0,03348000
31/01/2013;0,01680000;0,01985000;0,03610000;0,00754000;0,02097000;0,03448000
31/12/2012;0,01316000;0,01757000;0,03590000;0,00791000;0,01828000;0,03273000
30/11/2012;0,01386000;0,01616000;0,03540000;0,00716000;0,01775000;0,03157000
31/10/2012;0,01462000;0,01690000;0,03580000;0,00775000;0,01852000;0,03125000
28/09/2012;0,01442000;0,01634000;0,03450000;0,00778000;0,01727000;0,02986000
31/08/2012;0,01334000;0,01548000;0,03390000;0,00797000;0,01464000;0,03092000
31/07/2012;0,01285000;0,01468000;0,03290000;0,00794000;0,01470000;0,03105000
29/06/2012;0,01583000;0,01645000;0,03340000;0,00837000;0,01734000;0,03038000
31/05/2012;0,01200000;0,01558000;0,03380000;0,00824000;0,01571000;0,02921000
30/04/2012;0,01663000;0,01914000;0,03550000;0,00897000;0,02113000;0,03674000
31/03/2012;0,01794000;0,02209000;0,03520000;0,00989000;0,02204000;0,03982000
29/02/2012;0,01818000;0,01970000;0,03550000;0,00963000;0,02149000;0,03971000
31/01/2012;0,01787000;0,01797000;0,03410000;0,00967000;0,01970000;0,03718000
